Item,Description,Quantity,Unit Price (INR),Unit Price (USD),URL,Running Total
Seeed Studio XIAO ESP32C3 (Tape/Reel Packing) RISC-V Tiny MCU Board with Wi-Fi & Bluetooth 5.0 - Battery Charge Supported,Microcontroller,2,472,5.21,https://hubtronics.in/index.php?route=product/product&search=xiao+esp32c3&product_id=7107&search=xiao+esp32c3,10.42
Adafruit MAX98357A I2S 3W Class D Amplifier Breakout Board,DAC and Audio Amplifier,1,730,8.05,https://robu.in/product/adafruit-max98357a-i2s-3w-class-d-amplifier-breakout-board/,18.47
Mini Micro SD Card Reader Module,SD Card Reader,2,28,0.31,https://robu.in/product/mini-micro-sd-card-reader-module/,19.09
WLY103443 3.7V 1500mAh 1S LiPo Battery – Micro Rechargeable Battery Pack for Wearables / Micro Drone / IoT,Battery/Power Supply,2,445,4.91,https://robu.in/product/wly103443-1500mah-3-7v-single-cell-rechargeable-lipo-battery/,28.91
PCM5102 I2S Digital Audio DAC Decoder Module - 3.5mm Stereo Output,DAC and Audio Amplifier,1,449,4.95,https://hubtronics.in/pcm5102-i2s-digital-audio-dac-decoder-module,33.86
6x6x5mm 4 Pin SMD Tactile Switch,Buttons,10,42.48(for 10),0.47(for 10),https://hubtronics.in/6x6x5mm-smd-switch?search=tactile,34.33
Tax (Hubtronics),IGST (18%),,219.69,2.42,,36.75
Shipping(Hubtronics),By Road : (Weight: 70.00g),,75,0.83,,37.58
PCB (AllPCB),PCB,1,,5,,42.58
Tax(Robu),IGST (18%),,255.66,2.82,,45.4
Shipping(Robu),Free,,0,0,,45.4
120pcs 12 value 1uF-470uF Electrolytic Capacitor Kit 1UF 2.2UF 3.3UF 4.7UF 10UF 22UF 33UF 47UF 100UF 220UF,Capacitors,1,279,3.08,https://www.amazon.in/120pcs-value-1uF-470uF-Electrolytic-Capacitor/dp/B08WKJTTYC/ref=pd_bxgy_d_sccl_2/260-6212100-1351748?psc=1,48.48
Slide Switch SS-12F15 1P2T,Switch,2,3,0.033,https://robu.in/product/1-month-warranty-254/,48.579
,,,,,,
FINAL TOTAL,,,,,,48.579 USD
